BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.480874,0.485095,0.51137,0.472814,0.557252,0.465565,0.515873,0.467672,0.503883,0.484816,1
0.469274,0.511305,0.521495,0.472814,0.488225,0.47907,0.539535,0.506708,0.508475,0.484816,1
0.487148,0.504318,0.421169,0.505829,0.516461,0.487414,0.518595,0.512528,0.503883,0.509198,1
0.542403,0.504717,0.421169,0.407035,0.516461,0.556116,0.516214,0.499353,0.503883,0.439394,1
0.501906,0.410959,0.545455,0.51773,0.487619,0.44523,0.467456,0.486692,0.499863,0.518556,0
0.480663,0.484211,0.497972,0.481164,0.514382,0.448598,0.494477,0.454766,0.544776,0.473513,0
0.479853,0.548387,0.497972,0.532787,0.526119,0.558252,0.516214,0.454766,0.499863,0.567568,1
0.428571,0.527473,0.51773,0.498615,0.474946,0.533592,0.460425,0.505703,0.503883,0.509198,0
0.542403,0.507863,0.515385,0.532787,0.561086,0.51626,0.509972,0.491465,0.490047,0.50533,0
0.470149,0.511305,0.565594,0.472814,0.497989,0.51626,0.509972,0.516418,0.51773,0.518556,0
0.507547,0.543799,0.487738,0.525246,0.524819,0.462121,0.509972,0.454766,0.393443,0.509198,1
0.517039,0.511305,0.497512,0.523989,0.534702,0.508671,0.502106,0.445918,0.46988,0.492582,0
0.542403,0.504318,0.498615,0.480603,0.516461,0.513656,0.515873,0.50655,0.512255,0.424386,1
0.542403,0.47432,0.553073,0.525246,0.516461,0.467318,0.494477,0.505703,0.544776,0.509198,1
0.487148,0.504717,0.497972,0.472814,0.526119,0.513656,0.568702,0.475113,0.503883,0.48728,0
0.517039,0.504717,0.421169,0.523989,0.533061,0.511848,0.494477,0.541667,0.508475,0.5,0
0.542403,0.518156,0.481994,0.505682,0.409091,0.50838,0.523727,0.551313,0.468451,0.5,1
0.507547,0.48645,0.524819,0.472897,0.409091,0.529833,0.523727,0.49184,0.468451,0.50533,1
0.521739,0.518156,0.522516,0.523989,0.522581,0.44523,0.487676,0.241379,0.515358,0.502555,0
0.501229,0.511305,0.496536,0.523989,0.524819,0.462121,0.502106,0.544974,0.457083,0.437673,0
0.472814,0.511305,0.485014,0.498881,0.534702,0.530892,0.568702,0.508434,0.504505,0.439394,1
0.538462,0.548387,0.485014,0.498615,0.522581,0.478873,0.489831,0.516418,0.515358,0.502555,0
0.501906,0.504717,0.502868,0.472814,0.524819,0.533592,0.5,0.445918,0.476318,0.527418,1
0.487148,0.507246,0.51773,0.523989,0.534702,0.489831,0.458839,0.472826,0.497414,0.496114,1
0.487148,0.518519,0.497972,0.523096,0.534702,0.494444,0.487676,0.516418,0.497414,0.527418,0
0.498824,0.511305,0.522516,0.524169,0.482173,0.467318,0.463158,0.491465,0.504505,0.491935,0
0.531532,0.507863,0.542403,0.523989,0.497989,0.44523,0.463158,0.454766,0.457083,0.518556,0
0.523404,0.504318,0.502868,0.481164,0.540741,0.465587,0.486278,0.454766,0.499863,0.492582,0
0.531532,0.518519,0.511305,0.498615,0.464,0.503106,0.518595,0.445918,0.468451,0.479401,0
0.513399,0.518519,0.508929,0.498615,0.495549,0.530892,0.491484,0.516418,0.499863,0.496114,0
0.496333,0.440415,0.531532,0.525246,0.533061,0.508671,0.513812,0.506708,0.476318,0.527778,1
0.531532,0.507863,0.518519,0.523989,0.516461,0.441341,0.436893,0.481038,0.490047,0.439394,1
0.517039,0.484211,0.497972,0.505829,0.516461,0.465565,0.361702,0.516418,0.515358,0.596899,1
0.501906,0.511305,0.527027,0.523096,0.464,0.529833,0.568702,0.479239,0.503883,0.516721,1
0.517039,0.521495,0.497972,0.523989,0.533061,0.508671,0.467456,0.479239,0.504505,0.5,0
0.513399,0.504,0.527027,0.472814,0.514382,0.51626,0.467456,0.491465,0.499863,0.48728,0
0.469274,0.504,0.538071,0.472814,0.534702,0.51626,0.502106,0.445918,0.503883,0.509198,0
0.542403,0.505097,0.491429,0.525246,0.524819,0.513656,0.460425,0.511848,0.497414,0.484816,1
0.548387,0.507246,0.557252,0.505829,0.497989,0.508671,0.523727,0.472826,0.476318,0.504491,1
0.448718,0.482143,0.533333,0.525246,0.497989,0.467318,0.523727,0.445918,0.499863,0.492582,0
0.464567,0.511305,0.481521,0.525246,0.471503,0.494444,0.486278,0.505703,0.499863,0.516721,0
0.54321,0.504,0.470037,0.523989,0.534702,0.508671,0.463158,0.521008,0.509198,0.504505,1
0.464567,0.507863,0.521495,0.523989,0.553571,0.465565,0.502106,0.472826,0.504505,0.496114,0
